@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5415814
@ Q2         %le              43.6091163
@ DATETIME   %08s     "11/11/2019 14:52:43"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQLA8LE             MONI                       143.1554475          .0000000        11.5768084         4.5927267          .4090232         -.2983305         2.7879347         3.0806216          .4254884          .1009241          .3864921 -2.39923913209E-5         -.0391918 -1.43387255152E-5 -7.74399772991E-5 7.841239346072E-6 -2.6562054198E-11 -3.5531592640E-12 3.833489073591E-6 6.577995349269E-4 -3.22823925518E-5 4.844427371811E-5
  MQLA9LE             MONI                       151.6672485          .0000000        15.0380855        20.9869293        -3.2869499         2.4835239         2.9158349         3.2203429          .1279001          .1397214          .4190957 -8.17098363221E-6          .1034515 -1.83762358480E-6 -8.39501081816E-5 -2.07129215249E-5 -5.0076302993E-11 7.46131781999E-12 -8.46486248279E-4          .0033450 8.388947249353E-5 -3.56802607120E-4
  MQLA10LE            MONI                       155.1316133          .0000000        47.2415439         7.8765732        -6.0068226         1.3000656         2.9365842         3.2637730          .0207493          .0434301          .7776331 -1.45783802455E-5          .1034515 -1.83160150965E-6 -1.55721577810E-4 -2.07129215249E-5 -2.4222405721E-11 7.46131781999E-12 -5.55804379957E-4          .0040345 8.388947249353E-5 -6.47484475567E-4
  MQF4E1              MONI                       159.7521773          .0000000        28.7182994        10.4930400         2.6695380         -.8247210         2.9546624         3.3582133          .0180782          .0944403          .6214597 -3.55069560120E-5         -.0543370 -4.93708632098E-6 -1.24441342100E-4 1.088366616538E-5 -5.5725625552E-12 3.53951502138E-12 2.358087492752E-4          .0033511 -2.75605624826E-7 8.692414858738E-5
  MQD3E1              MONI                       164.5639584          .0000000         7.3402800        21.9146957          .1922736         1.8132037         3.0123194         3.4059137          .0576570          .0477004          .3113850 -5.86556885249E-5         -.0169909 4.126767726390E-6 -6.23488010820E-5 3.405759078882E-6 1.01134750936E-11 1.90130940724E-12 -5.65277223004E-5          .0024071 -2.21657981821E-6 -2.84558466775E-4
  MQF2E1              MONI                       175.0138628          .0000000        15.7306700         6.3672617         1.9505800        -1.3604320         3.1880956         3.6095627          .1757762          .2036490          .3448908 -2.08486460015E-5         -.0288027 -1.37733473652E-5 -6.91221427989E-5 5.779827155354E-6 3.25471617061E-11 7.59248062266E-12 -3.49379148992E-5 2.925849315401E-4 -5.34882871071E-5 -1.65177080748E-4
  MQD1E1              MONI                       180.1536167          .0000000         5.3926837        22.8558181         -.7929878         3.0053265         3.2994576         3.6688568          .1113621          .0592941          .2372821 -7.77050205180E-5          .0290193 6.265886363969E-6 -4.75175488266E-5 -5.80138931720E-6 6.02377611110E-11 -8.5889000493E-12 -4.45989415379E-4 9.922059208914E-4 4.378067467333E-5 -1.45430030416E-4
  MQF2E2              MONI                       183.8933706          .0000000        15.5510390         6.5141125        -1.9227854         1.3635271         3.3664244         3.7184444          .0669667          .0495876          .3458504 -5.42735534823E-5          .0290193 6.266836599401E-6 -6.92176571921E-5 -5.80138931720E-6 2.81109632667E-11 -8.5889000493E-12 -2.82227714038E-4          .0015039 4.378067467333E-5 -3.09191731762E-4
  MQD3E2              MONI                       194.3432750          .0000000         7.3585985        21.8597425         -.2052715        -1.7727326         3.5436379         3.9170048          .1772136          .1985604          .3126165 3.680657713334E-7          .0170073 -2.72618162542E-6 -6.24714169862E-5 -3.40742844634E-6 -1.4249226269E-11 -3.8582522558E-12 -1.30496969778E-4          .0024085 -1.48638836912E-5 1.101871315790E-4
  MQF4E2              MONI                       199.1550562          .0000000        29.0108233        10.2598392        -2.7045032          .8342721         3.6009155         3.9653238          .0572775          .0483190          .6236559 -1.21174105332E-5          .0545036 -2.85947771715E-6 -1.24660196191E-4 -1.09002877934E-5 -2.1415869421E-11 -1.7387450349E-12 -2.45695131249E-4          .0025841 3.721953083881E-5 -4.78648814958E-4
  MQEAE3              MONI                       203.7756202          .0000000        48.4707029         7.5067608         5.6224205        -1.1848861         3.6187698         4.0631037          .0178543          .0977799          .7858263 -2.79236208449E-5         -.0958139 -7.28275495661E-6 -1.57022092862E-4 1.915526097848E-5 -3.2574460213E-11 -7.0595477150E-12 5.600258036161E-5 7.547022435043E-4 -5.79508555645E-5 -3.98458593227E-4
  MQD5E3              MONI                       209.5270192          .0000000         7.7464151        25.7721319          .5145102         1.9870743         3.6715185         4.1242973          .0527487          .0611936          .2675509 -6.29362549059E-5         -.0420167 4.170538418405E-6 -5.34215626803E-5 8.411465222262E-6 -6.5956156750E-11 5.00423959853E-12 -2.32854516639E-4 3.296931848644E-5 1.330459482890E-6 -9.21811437111E-5
  MQF6E2              MONI                       216.8388196          .0000000         8.9488140         6.9373554         -.6789921          .5842590         3.8420809         4.2163664          .1705624          .0920690          .1651818 -2.29036712051E-5          .0137405 -1.22949039818E-6 -3.28924328357E-5 -2.73996873534E-6 -2.9244743318E-11 5.02908809921E-12 -2.22682013618E-4 9.868360109216E-4 1.449143679427E-6 -1.02617172402E-4
  MQD5E4              MONI                       225.0506200          .0000000         7.5294447        27.6910365         -.5237289        -2.1585607         4.0330530         4.3255705          .1909721          .1092041          .2669657 8.062662154071E-5          .0419413 4.290465432280E-6 -5.33627570994E-5 -8.40388971309E-6 -2.2671452169E-11 5.63275041968E-13 -2.42377831027E-4          .0034601 -2.41359013234E-5 2.561728768845E-4
  MQEAE4              MONI                       230.8020191          .0000000        48.1124838         8.0372720        -5.6171554         1.3015143         4.0867927         4.3824306          .0537397          .0568602          .7842119 3.024196986104E-5          .0956227 -1.02541326996E-5 -1.56859861599E-4 -1.91360430675E-5 7.15904556752E-13 4.46825127206E-12 -4.74206398064E-4          .0042056 9.222665552475E-5 -8.63108750863E-4
  MQF4E3              MONI                       235.4225831          .0000000        29.0365054        10.2044924         2.6697311         -.7548383         4.1047057         4.4767618          .0179130          .0943312          .6223982 1.153110512612E-6         -.0543868 -5.72167814680E-6 -1.24533798251E-4 1.088853353315E-5 2.38598315181E-11 5.09523162963E-12 2.103692755340E-4          .0023809 -1.82975473865E-5 -1.05256341079E-4
