@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5435915
@ Q2         %le              43.6086671
@ DATETIME   %08s     "10/09/2019 18:50:43"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQF4E1              MONI                       159.7521773          .0000000        30.6036324         8.3703273         2.8261148         -.6242156         2.9359030         3.3494414          .0169962          .1094067          .6276418 1.386842395157E-4         -.0550058 1.750856189432E-5 4.377476578869E-4 -2.7310907671E-10 -6.91289085063E-4         -.0104270 2.914639154758E-5 1.037284282134E-5
  MQD3E1              MONI                       164.5639584          .0000000         7.8091596        17.9280716          .2321292         1.3817856         2.9898530         3.4089366          .0539499          .0594952          .3144301 2.208279484303E-4         -.0172892 -1.65760725966E-5 2.193013605021E-4 -4.6270531144E-10 3.141464758925E-4         -.0071732 -4.73826415261E-7 9.554105859556E-4
  MQF2E1              MONI                       175.0138628          .0000000        15.0872733         7.7790883         1.9123731        -1.7206787         3.1627734         3.6113445          .1729204          .2024079          .3516925 1.137233375718E-4         -.0296800 5.537342908063E-5 2.442901559206E-4 -1.4331808061E-10 3.077955211158E-4 -2.19892337899E-4 2.254907339308E-4 8.028974322416E-4
  MQD1E1              MONI                       180.1536167          .0000000         5.1451341        27.5993693         -.7905423         3.7198498         3.2801692         3.6597471          .1173958          .0484026          .2403658 3.370623668717E-4          .0289755 -3.24407304366E-5 1.673692248574E-4 -1.0258317925E-10          .0018196         -.0034167 -2.01285709530E-4 5.410199461396E-4
  MQF2E2              MONI                       183.8933706          .0000000        15.4647271         7.3043448        -1.9708203         1.7107832         3.3489713         3.7021373          .0688021          .0423903          .3485754 2.157458964405E-4          .0289755 -3.24254822897E-5 2.431760003910E-4 2.68958352840E-11          .0010674         -.0053838 -2.01285709530E-4          .0012933
  MQD3E2              MONI                       194.3432750          .0000000         7.7709929        18.0951793         -.2045687        -1.5116780         3.5189585         3.9215870          .1699872          .2194497          .3104106 5.529082680058E-5          .0172196 1.436033885202E-5 2.178664842483E-4 4.70172444478E-10 5.739122763806E-4         -.0072541 5.644912115845E-5 -1.96458514253E-4
  MQF4E2              MONI                       199.1550562          .0000000        29.9823543         9.1087033        -2.7514533          .5951713         3.5736265         3.9782312          .0546680          .0566442          .6203953 8.014391252828E-5          .0544467 6.159124465037E-6 4.351681181704E-4 3.24606312506E-10 7.661006633257E-4         -.0072865 -1.44679403326E-4          .0017634
  MQEAE3              MONI                       203.7756202          .0000000        49.1675519         8.4326961         5.7921226        -1.5093282         3.5910410         4.0760999          .0174145          .0978687          .7791926 1.205920434897E-4         -.0954732 2.600695733142E-5 5.472607217550E-4 2.08407798819E-10 1.746691603790E-4 1.760131913483E-4 2.753578843844E-4          .0019763
  MQD5E3              MONI                       209.5270192          .0000000         7.4381716        31.3779870          .5690554         2.3609353         3.6444616         4.1280202          .0534206          .0519203          .2633633 2.439725392497E-4         -.0424133 -1.85202823183E-5 1.855203069780E-4 2.28546797603E-10          .0011733          .0015774 -3.67380051561E-5 2.035129911112E-4
  MQF6E2              MONI                       216.8388196          .0000000         8.6196795         8.0121700         -.7308263          .8318604         3.8272466         4.2042155          .1827850          .0761953          .1582821 9.605617370146E-5          .0133438 2.183743452376E-7 1.127363286228E-4 -3.2256529399E-11 9.027337946751E-4         -.0035324 -3.72786940943E-5 4.745775508107E-4
  MQD5E4              MONI                       225.0506200          .0000000         8.1661598        24.7162329         -.5382794        -1.7651502         4.0096305         4.3113423          .1823839          .1071268          .2654598 -2.65664098649E-4          .0426837 -1.13045255807E-5 1.862544732691E-4 -3.8684462279E-10 9.810219050485E-4         -.0122976 8.915567490954E-5 -8.15134914929E-4
  MQEAE4              MONI                       230.8020191          .0000000        50.3738832         6.5854579        -5.8104801         1.1041090         4.0598910         4.3783337          .0502605          .0669914          .7849736 -8.57525500455E-5          .0961587 3.647530110370E-5 5.492854310527E-4 -2.6541676047E-10          .0016280         -.0141706 -3.63291610941E-4          .0033445
  MQF4E3              MONI                       235.4225831          .0000000        29.9003977         9.2897300         2.8684910         -.8707331         4.0771186         4.4902018          .0172275          .1118681          .6249010 3.392468428246E-5         -.0548734 2.448809944067E-5 4.367460060501E-4 -3.2050382525E-10 -5.15034427169E-4         -.0065127 1.011815523100E-4 7.033081479530E-4
  MQD3E3              MONI                       240.2343642          .0000000         7.1544132        21.6354611          .2779728         1.5983219         4.1342771         4.5412944          .0571586          .0510926          .3125036 1.444145199856E-4         -.0173983 1.853236193696E-6 2.186030109732E-4 -4.1146532977E-10 3.034178762895E-4         -.0029834 3.858824328475E-5 5.985654573591E-4
  MQF2E3              MONI                       250.6842686          .0000000        15.1345121         7.0364088         1.8070857        -1.3933643         4.3214716         4.7250728          .1871945          .1837784          .3487541 1.186959128609E-4         -.0292103 4.219175684319E-5 2.432474496636E-4 6.82804162739E-11 1.006422725411E-5         -.0039467 7.652254760577E-5 -5.24637746853E-4
  MQD1E2              MONI                       255.8240225          .0000000         5.7453322        22.9633698         -.8964105         3.1629766         4.4310616         4.7811649          .1095900          .0560921          .2396713 2.832550489307E-4          .0292163 -3.25271741710E-5 1.671326479690E-4 2.94557892687E-10          .0022300         -.0086228 -2.87473525581E-4          .0012446
  MQF2E4              MONI                       259.5637764          .0000000        16.8295657         6.0152407        -2.0695580         1.3720792         4.4931089         4.8326665          .0620473          .0515016          .3487805 1.616086596192E-4          .0292163 -3.25053013984E-5 2.432721236332E-4 2.15115892261E-10          .0011557         -.0082905 -2.87473525581E-4          .0023190
  MQD3E4              MONI                       270.0136808          .0000000         6.9836719        21.9942175         -.1546779        -1.8772042         4.6663921         5.0517363          .1732833          .2190697          .3125378 9.954223807961E-5          .0173990 2.888419253732E-5 2.186347869750E-4 3.93298838980E-10 4.823236878224E-4         -.0030734 8.941298490438E-5 4.549066384425E-5
  MQF4E4              MONI                       274.8254620          .0000000        27.1212203        10.8752941        -2.5345170          .8083145         4.7273167         5.0984380          .0609246          .0467017          .6249629 1.580577337055E-4          .0548782 1.414909555273E-5 4.368031267163E-4 1.95215706655E-10 5.989007230843E-4         -.0039643 -4.90558789574E-5 8.201934509375E-4
  MQEAE5              MONI                       279.4460260          .0000000        45.1285441         8.3013535         5.2448986        -1.2884221         4.7464375         5.1877364          .0191207          .0892984          .7854769 2.477930000051E-4         -.0961302 5.471235404693E-5 5.495043671218E-4 2.55340461279E-13 6.937184257939E-5         -.0020062 1.307017412494E-4 4.977056568106E-4
  MQD5E5              MONI                       285.1974250          .0000000         7.3005475        27.3574385          .4474976         2.1937270         4.8028431         5.2439522          .0564056          .0562158          .2661975 5.070733022937E-4         -.0425357 -3.79271044242E-5 1.865249201135E-4 -2.0059397527E-10          .0012991         -.0037945 -7.20284141626E-5 4.387944499241E-4
  MQF6E3              MONI                       292.5092254          .0000000         9.5337611         6.6024859         -.7532660          .6423114         4.9725594         5.3353995          .1697163          .0914473          .1602225 4.055138753441E-5          .0132214 1.108409839553E-6 1.134058195093E-4 -2.2834805094E-10 7.705331514845E-4         -.0062099 -7.25677703234E-5 9.699459585251E-4
  MQD5E6              MONI                       300.7210258          .0000000         7.3442112        25.1709600         -.4456517        -1.9981821         5.1558821         5.4545212          .1833227          .1191217          .2640460 -2.72119375197E-4          .0422582 -3.62180159151E-6 1.857384257851E-4 -5.5439269796E-10 1.293411059440E-4         -.0071859 4.815670530998E-5 -3.81227408957E-4
  MQEAE6              MONI                       306.4724249          .0000000        45.2008981         7.6950647        -5.2459997         1.1554237         5.2120654         5.5156250          .0561833          .0611038          .7795441 -4.60482368614E-5          .0954267 4.439751713892E-5 5.473353457454E-4 -2.7215424571E-10 7.886889469942E-4         -.0069103 -1.45712253198E-4          .0016529
  MQF4E5              MONI                       311.0929889          .0000000        27.1163742        10.9346741         2.5414423         -.8987011         5.2311725         5.6085325          .0191071          .0929074          .6203384 1.436754121648E-4         -.0544415 4.082661608332E-5 4.351126683052E-4 -1.7564698215E-10 -9.74888935633E-5         -.0037729 8.401210909879E-5 2.075312674537E-4
  MQD3E5              MONI                       315.9047700          .0000000         6.9471189        23.1549029          .1590450         1.9056607         5.2922713         5.6538877          .0610988          .0453552          .3103834 3.304995898152E-4         -.0172176 -1.05860950162E-5 2.178441260588E-4 -1.1327034403E-10 8.344479733156E-4         -.0042253 -1.17263802139E-5 4.149899907498E-4
  MQF2E5              MONI                       326.3546744          .0000000        16.6110821         6.0664023         2.0301967        -1.2658748         5.4680089         5.8551134          .1757376          .2012257          .3434011 -1.73305540840E-5         -.0285394 1.214534363739E-5 2.413729177066E-4 2.37499240441E-10 -6.60727276275E-4         -.0073118 -3.68037733198E-5 -8.56389861577E-4
  MQD1E3              MONI                       331.4944283          .0000000         5.6140602        21.5867625         -.7764166         2.8261317         5.5731461         5.9177422          .1051371          .0626288          .2373117 3.889967330475E-5          .0292526 3.210795609349E-6 1.663172740170E-4 5.12111475519E-10          .0010672         -.0074046 -1.36146296651E-4          .0012227
  MQF2E6              MONI                       335.2341822          .0000000        15.4045831         6.2778956        -1.8433751         1.2702831         5.6389643         5.9697558          .0658182          .0520136          .3465567 5.085657587088E-5          .0292526 3.221162949726E-6 2.425191081188E-4 2.72821945158E-10 5.584157814930E-4         -.0049222 -1.36146296651E-4          .0017315
  MQT1TNE1            MONI                       345.6840866          .0000000         7.0685220        23.0805176         -.2465777        -1.8477598         5.8246339         6.1637494          .1856696          .1939936          .3144442 2.367176455833E-4          .0172762 3.573095223517E-5 2.193182685870E-4 8.05672089597E-11          .0010509         -.0054898 1.376617246731E-4 -4.36757765378E-4
  MQT2TNE1            MONI                       350.8918337          .0000000        20.3697625        29.8840417        -4.2322932         3.3463664         5.9044207         6.1922163          .0797868          .0284669          .5043381 3.431664326570E-4          .0954676 -2.55251872292E-5 3.517028593658E-4 -1.6610515800E-11          .0037314         -.0161261 -3.58952864280E-4          .0016308
  MQTATNE1            MONI                       354.4092937          .0000000        47.2541704        15.3705341         4.4829058        -1.2313233         5.9205405         6.2214037          .0161198          .0291874          .7348431 2.918808324366E-4         -.0774188 3.814211153197E-5 5.129860699150E-4 -9.1122054699E-11         -.0016454         -.0193858 -1.37073341881E-4         -.0017953
  MQT3TNE1            MONI                       359.2821055          .0000000        16.3637256        27.4706170          .6153007         1.1457883         5.9501708         6.2573130          .0296303          .0359093          .3855532 4.476744690546E-4         -.0322223 -1.10859588748E-5 2.694917321721E-4 -2.4612962795E-10 -2.56142864156E-4         -.0169700 2.762984563082E-5 6.720312336565E-4
  MQT4TNE1            MONI                       367.4419758          .0000000        11.9303780        14.3179319         -.0714072          .4657632         6.0493052         6.3247148          .0991345          .0674018          .3255581 -2.74866665029E-4          .0235349 1.960656577334E-5 2.290446362568E-4 -3.1858025379E-10 -3.04709347651E-5         -.0112123 2.769809023281E-5 4.535056850435E-4
  MQTBTNE1            MONI                       371.4602122          .0000000        18.1222685         8.4042929        -1.0974519          .5278991         6.0943668         6.3829349          .0450616          .0582201          .4738321 -1.54847669536E-4          .0393322 3.168741325245E-5 3.338893686797E-4 -3.0311414451E-10 4.422311412323E-4         -.0092332 -1.53374801475E-5 9.912360865181E-4
