@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5422163
@ Q2         %le              43.6089455
@ DATETIME   %08s     "11/11/2019 14:52:52"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQLA8LE             MONI                       143.1554475          .0000000        11.4163276         4.9286221          .3852559         -.3538750         2.7828376         3.0811339          .4251696          .0973548          .3885851 1.395556743946E-5         -.0392350 7.125065325776E-6 3.882431542385E-5 -3.92277557456E-6 -3.4996357392E-12 -7.7987289818E-13 1.286547845637E-6 -3.44460015107E-4 1.622133819327E-5 -2.13300289427E-5
  MQLA9LE             MONI                       151.6672485          .0000000        15.3177659        21.4678996        -3.3614784         2.6151575         2.9103155         3.2123449          .1274779          .1312110          .4210261 5.180216637758E-6          .1037843 8.139891853615E-7 4.207122857465E-5 1.037303497018E-5 -8.9510401633E-12 1.16819803331E-12 4.304803606808E-4         -.0016948 -4.40777006957E-5 1.864530285311E-4
  MQLA10LE            MONI                       155.1316133          .0000000        48.2412558         7.7316073        -6.1429429         1.3502639         2.9306520         3.2556708          .0203365          .0433259          .7805010 7.989905252930E-6          .1037843 8.155728438421E-7 7.800361209920E-5 1.037303497018E-5 -4.9043807347E-12 1.16819803331E-12 2.777943964638E-4         -.0020112 -4.40777006957E-5 3.391389927645E-4
  MQF4E1              MONI                       159.7521773          .0000000        29.3745161         9.7174895         2.7261429         -.7557035         2.9483346         3.3553762          .0176826          .0997053          .6236604 1.848885376812E-5         -.0545761 2.495292817343E-6 6.233030029810E-5 -5.45373493200E-6 -2.8702266664E-12 3.33743242649E-13 -1.10960447643E-4         -.0016079 1.461158783308E-6 -2.89361439155E-5
  MQD3E1              MONI                       164.5639584          .0000000         7.4919019        20.4851907          .2077799         1.6580440         3.0046906         3.4067534          .0563560          .0513772          .3124492 3.018625625677E-5         -.0171010 -2.16789521546E-6 3.122748976999E-5 -1.70834374756E-6 -1.4592330982E-12 5.46427592754E-13 3.419271632725E-5         -.0011429 6.807177747103E-7 1.398586293320E-4
  MQF2E1              MONI                       175.0138628          .0000000        15.4787194         6.8099015         1.9314581        -1.4733116         3.1798783         3.6100051          .1751877          .2032517          .3470793 1.221590911296E-5         -.0290933 7.187940767382E-6 3.467081016055E-5 -2.90446187701E-6 4.59866482534E-12 1.32825011559E-12 2.549190530466E-5 -1.13024521543E-4 2.837600174185E-5 9.230245243839E-5
  MQD1E1              MONI                       180.1536167          .0000000         5.3156094        24.3160458         -.7952523         3.2288317         3.2932665         3.6654135          .1133882          .0554084          .2382262 4.165291105177E-5          .0289874 -3.59369715600E-6 2.380626347141E-5 2.899149763280E-6 9.63179162061E-12 -1.2350634403E-12 2.342972277742E-4 -4.94591269241E-4 -2.40630438163E-5 7.452721889177E-5
  MQF2E2              MONI                       183.8933706          .0000000        15.5572848         6.7385483        -1.9436176         1.4718133         3.3607121         3.7125948          .0674456          .0471813          .3466101 2.821315214266E-5          .0289874 -3.59343631408E-6 3.464728601261E-5 2.899149763280E-6 5.01342013616E-12 -1.2350634403E-12 1.443163638233E-4 -7.55559399598E-4 -2.40630438163E-5 1.645080828435E-4
  MQD3E2              MONI                       194.3432750          .0000000         7.4839161        20.5113637         -.2020803        -1.6776621         3.5352768         3.9183528          .1745647          .2057580          .3118461 2.677967691752E-6          .0170921 1.611528169525E-6 3.119725853980E-5 1.707905523029E-6 8.16972781149E-13 -3.6527151425E-13 7.142570437282E-5         -.0011483 7.724813386497E-6 -4.63446022090E-5
  MQF4E2              MONI                       199.1550562          .0000000        29.2461753         9.8300271        -2.7107747          .7511541         3.5917933         3.9693907          .0565164          .0510379          .6225808 7.987444959505E-6          .0544937 1.239542618335E-6 6.227621148201E-5 5.449611329462E-6 -1.3972560922E-12 -5.0370848712E-13 1.190366729042E-4         -.0012131 -1.92720056422E-5 2.431146475960E-4
